configuration_id,TARGET_CLASS,criterion,Size,Length,MutationScore
Branch,tutorial.Owner,BRANCH,1,1,1.0
Branch,tutorial.ATM,BRANCH,9,65,0.2777777777777778
Branch,tutorial.Person,BRANCH,2,4,0.0
Branch,tutorial.BankAccount,BRANCH,2,6,0.8
Branch,tutorial.ATMCard,BRANCH,8,32,1.0
Branch,tutorial.Company,BRANCH,1,2,1.0
Branch,tutorial.SavingsAccount,BRANCH,3,11,0.8823529411764706
Branch,tutorial.BankAccount,BRANCH,2,6,0.8
Branch,tutorial.CurrentAccount,BRANCH,2,7,0.6739130434782609
Branch,tutorial.Company,BRANCH,1,2,1.0
Branch,tutorial.ATMCard,BRANCH,8,38,1.0
Branch,tutorial.Person,BRANCH,2,4,0.0
Branch,tutorial.CurrentAccount,BRANCH,3,9,0.7608695652173914
Branch,tutorial.BankAccount,BRANCH,2,6,0.8
Branch,tutorial.SavingsAccount,BRANCH,3,9,0.6470588235294118
Branch,tutorial.Owner,BRANCH,1,1,1.0
Branch,tutorial.Company,BRANCH,1,2,1.0
Branch,tutorial.Bank,BRANCH,4,15,0.8
Branch,tutorial.Owner,BRANCH,1,1,1.0
Branch,tutorial.CurrentAccount,BRANCH,3,10,0.6521739130434783
Branch,tutorial.BankAccount,BRANCH,2,6,0.8
Branch,tutorial.ATM,BRANCH,9,64,0.3333333333333333
Branch,tutorial.ATMCard,BRANCH,8,24,1.0
Branch,tutorial.Bank,BRANCH,4,15,0.8
Branch,tutorial.Company,BRANCH,1,2,1.0
Branch,tutorial.BankAccount,BRANCH,2,6,0.8
Branch,tutorial.Person,BRANCH,2,4,0.0
Branch,tutorial.CurrentAccount,BRANCH,3,9,0.5652173913043478
Branch,tutorial.Person,BRANCH,2,4,0.0
Branch,tutorial.SavingsAccount,BRANCH,3,9,0.7058823529411765
Branch,tutorial.SavingsAccount,BRANCH,3,9,0.8235294117647058
Branch,tutorial.CurrentAccount,BRANCH,2,8,0.8478260869565217
Branch,tutorial.Bank,BRANCH,4,13,0.8
Branch,tutorial.Owner,BRANCH,1,1,1.0
Branch,tutorial.ATM,BRANCH,9,65,0.3333333333333333
Branch,tutorial.BankAccount,BRANCH,2,6,0.8
Branch,tutorial.Person,BRANCH,2,4,0.0
Branch,tutorial.SavingsAccount,BRANCH,3,9,0.7352941176470589
Branch,tutorial.ATM,BRANCH,10,76,0.2777777777777778
Branch,tutorial.Bank,BRANCH,4,15,0.8
Branch,tutorial.Company,BRANCH,1,2,1.0
Branch,tutorial.Owner,BRANCH,1,1,1.0
Branch,tutorial.ATMCard,BRANCH,8,40,1.0
Branch,tutorial.ATM,BRANCH,10,78,0.3333333333333333
Branch,tutorial.Owner,BRANCH,1,1,1.0
Branch,tutorial.Person,BRANCH,2,4,0.0
Branch,tutorial.CurrentAccount,BRANCH,3,8,0.6956521739130435
Branch,tutorial.BankAccount,BRANCH,2,5,0.8
Branch,tutorial.Company,BRANCH,1,2,1.0
Branch,tutorial.BankAccount,BRANCH,2,6,0.8
Branch,tutorial.SavingsAccount,BRANCH,3,9,0.6176470588235294
Branch,tutorial.ATMCard,BRANCH,8,40,1.0
Branch,tutorial.Owner,BRANCH,1,1,1.0
Branch,tutorial.Person,BRANCH,2,4,0.0
Branch,tutorial.Owner,BRANCH,1,1,1.0
Branch,tutorial.Bank,BRANCH,4,15,0.8
Branch,tutorial.ATM,BRANCH,9,64,0.4166666666666667
Branch,tutorial.Company,BRANCH,1,2,1.0
Branch,tutorial.BankAccount,BRANCH,2,4,0.6
Branch,tutorial.ATMCard,BRANCH,8,33,1.0
Branch,tutorial.Bank,BRANCH,4,15,0.8
Branch,tutorial.SavingsAccount,BRANCH,2,7,0.8529411764705882
Branch,tutorial.CurrentAccount,BRANCH,3,9,0.6304347826086957
Branch,tutorial.Person,BRANCH,2,4,0.0
Branch,tutorial.ATMCard,BRANCH,8,40,1.0
Branch,tutorial.ATM,BRANCH,10,80,0.3333333333333333
Branch,tutorial.Company,BRANCH,1,2,1.0
Branch,tutorial.Bank,BRANCH,4,13,0.8
Branch,tutorial.SavingsAccount,BRANCH,3,9,0.8235294117647058
Branch,tutorial.Company,BRANCH,1,2,1.0
Branch,tutorial.CurrentAccount,BRANCH,3,9,0.6739130434782609
Branch,tutorial.Owner,BRANCH,1,1,1.0
Branch,tutorial.ATMCard,BRANCH,8,32,1.0
Branch,tutorial.SavingsAccount,BRANCH,3,9,0.8235294117647058
Branch,tutorial.Company,BRANCH,1,2,1.0
Branch,tutorial.ATMCard,BRANCH,8,32,1.0
Branch,tutorial.Person,BRANCH,2,4,0.0
Branch,tutorial.Company,BRANCH,1,2,1.0
Branch,tutorial.ATMCard,BRANCH,8,40,1.0
Branch,tutorial.ATM,BRANCH,10,75,0.3055555555555556
Branch,tutorial.Owner,BRANCH,1,1,1.0
Branch,tutorial.Company,BRANCH,1,2,1.0
Branch,tutorial.Person,BRANCH,2,4,1.0
Branch,tutorial.Bank,BRANCH,4,15,0.8
Branch,tutorial.Person,BRANCH,2,4,0.0
Branch,tutorial.BankAccount,BRANCH,2,6,0.8
Branch,tutorial.Owner,BRANCH,1,1,1.0
Branch,tutorial.ATM,BRANCH,9,64,0.4444444444444444
Branch,tutorial.CurrentAccount,BRANCH,3,9,0.7608695652173914
Branch,tutorial.Owner,BRANCH,1,1,1.0
Branch,tutorial.SavingsAccount,BRANCH,3,10,0.8823529411764706
Branch,tutorial.BankAccount,BRANCH,2,6,0.8
Branch,tutorial.ATM,BRANCH,10,77,0.4166666666666667
Branch,tutorial.CurrentAccount,BRANCH,3,9,0.7608695652173914
Branch,tutorial.Bank,BRANCH,4,12,0.8
Branch,tutorial.Company,BRANCH,1,2,1.0
Branch,tutorial.Person,BRANCH,2,4,0.0
Branch,tutorial.SavingsAccount,BRANCH,3,9,0.8235294117647058
Branch,tutorial.Company,BRANCH,1,2,1.0
Branch,tutorial.ATMCard,BRANCH,8,40,1.0
Branch,tutorial.BankAccount,BRANCH,2,6,0.8
Branch,tutorial.CurrentAccount,BRANCH,3,10,0.7391304347826086
Branch,tutorial.SavingsAccount,BRANCH,3,9,0.7058823529411765
Branch,tutorial.BankAccount,BRANCH,2,6,0.8
Branch,tutorial.ATM,BRANCH,9,63,0.4166666666666667
Branch,tutorial.CurrentAccount,BRANCH,3,9,0.6956521739130435
Branch,tutorial.Person,BRANCH,2,4,0.0
Branch,tutorial.ATMCard,BRANCH,8,33,1.0
Branch,tutorial.SavingsAccount,BRANCH,3,9,0.8235294117647058
Branch,tutorial.Owner,BRANCH,1,1,1.0
Branch,tutorial.Bank,BRANCH,4,15,0.8
Branch,tutorial.ATMCard,BRANCH,8,40,1.0
Branch,tutorial.Owner,BRANCH,1,1,1.0
Branch,tutorial.Person,BRANCH,2,4,0.0
Branch,tutorial.Person,BRANCH,2,4,0.0
Branch,tutorial.Company,BRANCH,1,2,1.0
Branch,tutorial.ATM,BRANCH,10,73,0.3333333333333333
Branch,tutorial.Owner,BRANCH,1,1,1.0
Branch,tutorial.Bank,BRANCH,4,11,0.8
Branch,tutorial.SavingsAccount,BRANCH,3,9,0.7352941176470589
Branch,tutorial.Bank,BRANCH,4,15,0.8
Branch,tutorial.CurrentAccount,BRANCH,3,9,0.6956521739130435
Branch,tutorial.ATMCard,BRANCH,8,40,1.0
Branch,tutorial.ATM,BRANCH,9,65,0.3611111111111111
Branch,tutorial.Company,BRANCH,1,2,1.0
Branch,tutorial.SavingsAccount,BRANCH,3,9,0.8235294117647058
Branch,tutorial.CurrentAccount,BRANCH,3,9,0.6739130434782609
Branch,tutorial.Bank,BRANCH,4,15,0.8
Branch,tutorial.ATM,BRANCH,10,78,0.4722222222222222
Branch,tutorial.SavingsAccount,BRANCH,3,9,0.6470588235294118
Branch,tutorial.Person,BRANCH,2,4,0.0
Branch,tutorial.Company,BRANCH,1,2,1.0
Branch,tutorial.SavingsAccount,BRANCH,3,9,0.8235294117647058
Branch,tutorial.BankAccount,BRANCH,2,6,0.8
Branch,tutorial.Owner,BRANCH,1,1,1.0
Branch,tutorial.ATMCard,BRANCH,8,32,1.0
Branch,tutorial.Company,BRANCH,1,2,1.0
Branch,tutorial.ATM,BRANCH,10,79,0.3888888888888889
Branch,tutorial.SavingsAccount,BRANCH,3,9,0.8235294117647058
Branch,tutorial.ATMCard,BRANCH,8,39,1.0
Branch,tutorial.ATM,BRANCH,10,74,0.3333333333333333
Branch,tutorial.BankAccount,BRANCH,2,6,0.8
Branch,tutorial.Bank,BRANCH,4,13,0.8
Branch,tutorial.Person,BRANCH,2,4,1.0
Branch,tutorial.CurrentAccount,BRANCH,3,10,0.6739130434782609
Branch,tutorial.Bank,BRANCH,4,11,0.8
Branch,tutorial.SavingsAccount,BRANCH,3,9,0.7058823529411765
Branch,tutorial.BankAccount,BRANCH,2,6,0.8
Branch,tutorial.ATM,BRANCH,10,78,0.3611111111111111
Branch,tutorial.Owner,BRANCH,1,1,1.0
Branch,tutorial.Bank,BRANCH,4,12,0.8
Branch,tutorial.ATMCard,BRANCH,8,40,1.0
Branch,tutorial.CurrentAccount,BRANCH,3,9,0.6521739130434783
Branch,tutorial.Owner,BRANCH,1,1,1.0
Branch,tutorial.Company,BRANCH,1,2,1.0
Branch,tutorial.BankAccount,BRANCH,2,6,0.8
Branch,tutorial.BankAccount,BRANCH,2,6,0.8
Branch,tutorial.SavingsAccount,BRANCH,3,6,0.8529411764705882
Branch,tutorial.ATMCard,BRANCH,8,39,1.0
Branch,tutorial.Bank,BRANCH,4,15,0.8
Branch,tutorial.CurrentAccount,BRANCH,2,8,0.8478260869565217
Branch,tutorial.Person,BRANCH,2,4,0.0
Branch,tutorial.CurrentAccount,BRANCH,3,9,0.6521739130434783
Branch,tutorial.Bank,BRANCH,4,13,0.8
Branch,tutorial.ATMCard,BRANCH,8,33,1.0
Branch,tutorial.ATM,BRANCH,8,51,0.08333333333333333
Branch,tutorial.Person,BRANCH,2,4,0.0
Branch,tutorial.Owner,BRANCH,1,1,1.0
Branch,tutorial.BankAccount,BRANCH,2,6,0.8
Branch,tutorial.Person,BRANCH,2,4,1.0
Branch,tutorial.Bank,BRANCH,4,15,0.8
Branch,tutorial.Owner,BRANCH,1,1,1.0
Branch,tutorial.Company,BRANCH,1,2,1.0
Branch,tutorial.SavingsAccount,BRANCH,3,9,0.6470588235294118
Branch,tutorial.BankAccount,BRANCH,2,6,0.8
Branch,tutorial.Company,BRANCH,1,2,1.0
Branch,tutorial.SavingsAccount,BRANCH,2,7,0.9117647058823529
Branch,tutorial.ATMCard,BRANCH,8,40,1.0
Branch,tutorial.ATM,BRANCH,9,65,0.3611111111111111
Branch,tutorial.Owner,BRANCH,1,1,1.0
Branch,tutorial.BankAccount,BRANCH,2,6,0.8
Branch,tutorial.CurrentAccount,BRANCH,2,7,0.7608695652173914
Branch,tutorial.SavingsAccount,BRANCH,3,9,0.8235294117647058
Branch,tutorial.Owner,BRANCH,1,1,1.0
Branch,tutorial.ATMCard,BRANCH,8,32,1.0
Branch,tutorial.Bank,BRANCH,4,15,0.8
Branch,tutorial.CurrentAccount,BRANCH,2,8,0.8478260869565217
Branch,tutorial.ATM,BRANCH,9,64,0.3333333333333333
Branch,tutorial.Person,BRANCH,2,4,1.0
Branch,tutorial.BankAccount,BRANCH,2,6,0.8
Branch,tutorial.ATMCard,BRANCH,8,40,1.0
Branch,tutorial.Company,BRANCH,1,2,1.0
Branch,tutorial.Owner,BRANCH,1,1,1.0
Branch,tutorial.Bank,BRANCH,4,15,0.8
Branch,tutorial.ATM,BRANCH,10,77,0.3333333333333333
Branch,tutorial.Bank,BRANCH,4,13,0.8
Branch,tutorial.CurrentAccount,BRANCH,3,10,0.7391304347826086
Branch,tutorial.Person,BRANCH,2,4,1.0
Branch,tutorial.ATMCard,BRANCH,8,40,1.0
Branch,tutorial.ATM,BRANCH,9,64,0.3333333333333333
Branch,tutorial.CurrentAccount,BRANCH,3,9,0.6304347826086957
Branch,tutorial.Person,BRANCH,2,4,1.0
Branch,tutorial.Owner,BRANCH,1,1,1.0
Branch,tutorial.ATM,BRANCH,8,57,0.5
Default,tutorial.Person,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,6,12,1.0
Default,tutorial.CurrentAccount,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,3,10,0.8260869565217391
Default,tutorial.Bank,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,4,19,0.8
Default,tutorial.ATM,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,10,62,0.5
Default,tutorial.Bank,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,5,19,0.8
Default,tutorial.Person,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,6,12,1.0
Default,tutorial.Person,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,6,12,1.0
Default,tutorial.Owner,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1,1,1.0
Default,tutorial.ATMCard,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,13,58,1.0
Default,tutorial.ATMCard,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,14,63,1.0
Default,tutorial.Company,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,3,6,1.0
Default,tutorial.SavingsAccount,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,4,12,0.8823529411764706
Branch,tutorial.BankAccount,BRANCH,2,4,0.6
Branch,tutorial.SavingsAccount,BRANCH,3,9,0.7352941176470589
Branch,tutorial.Company,BRANCH,1,2,1.0
Branch,tutorial.ATM,BRANCH,9,63,0.3333333333333333
Branch,tutorial.Owner,BRANCH,1,1,1.0
Branch,tutorial.ATMCard,BRANCH,8,35,1.0
Branch,tutorial.CurrentAccount,BRANCH,3,9,0.717391304347826
Branch,tutorial.Bank,BRANCH,4,15,0.8
Branch,tutorial.Person,BRANCH,2,4,0.0
Branch,tutorial.BankAccount,BRANCH,2,6,0.8
Branch,tutorial.SavingsAccount,BRANCH,3,9,0.8235294117647058
Branch,tutorial.Company,BRANCH,1,2,1.0
Default,tutorial.Person,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,6,12,1.0
Default,tutorial.SavingsAccount,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,4,13,0.9117647058823529
Default,tutorial.CurrentAccount,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,4,14,0.8913043478260869
Default,tutorial.ATM,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,14,107,0.3611111111111111
Default,tutorial.Company,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,3,6,1.0
Default,tutorial.BankAccount,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,8,24,1.0
Branch,tutorial.Person,BRANCH,2,4,1.0
Branch,tutorial.BankAccount,BRANCH,2,6,0.8
Branch,tutorial.SavingsAccount,BRANCH,2,7,0.8823529411764706
Branch,tutorial.Company,BRANCH,1,2,1.0
Branch,tutorial.Bank,BRANCH,4,14,0.8
Branch,tutorial.ATMCard,BRANCH,8,40,1.0
Default,tutorial.SavingsAccount,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,4,13,0.9411764705882353
Default,tutorial.Owner,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1,1,1.0
Default,tutorial.BankAccount,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,8,25,1.0
Default,tutorial.ATMCard,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,14,64,1.0
Default,tutorial.Company,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,3,6,1.0
Default,tutorial.CurrentAccount,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,4,13,0.8478260869565217
Default,tutorial.Person,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,6,12,1.0
Default,tutorial.SavingsAccount,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,4,10,0.9411764705882353
Default,tutorial.Bank,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,6,19,0.8
Default,tutorial.ATMCard,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,14,64,1.0
Default,tutorial.Company,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,3,6,1.0
Default,tutorial.Owner,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1,1,1.0
Default,tutorial.CurrentAccount,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,3,10,0.8260869565217391
Default,tutorial.BankAccount,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,6,18,1.0
Default,tutorial.Bank,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,4,20,0.8
Default,tutorial.ATM,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,13,92,0.3611111111111111
Default,tutorial.Company,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,3,6,1.0
Default,tutorial.SavingsAccount,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,3,10,0.9117647058823529
Default,tutorial.Person,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,6,12,1.0
